,Description,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid,Data.Calories
1548,"Whiting, coated, fried, made with cooking spray",11.64,21.85,3.52,165.64
1549,"Whiting, steamed or poached",0.0,23.02,1.65,106.93
1550,"Tilapia, cooked, NS as to cooking method",0.1,24.55,5.85,151.25
1551,"Tilapia, baked or broiled, made with oil",0.1,24.55,5.85,151.25
1552,"Tilapia, baked or broiled, made with butter",0.1,24.58,5.14,144.98
1553,"Tilapia, baked or broiled, made with margarine",0.13,24.56,4.54,139.62
1554,"Tilapia, baked or broiled, no added fat",0.1,25.29,2.14,120.82
1555,"Tilapia, baked or broiled, made with cooking spray",0.2,25.2,2.53,124.37
1556,"Tilapia, coated, baked or broiled, made with oil",12.51,21.02,8.07,206.75
1557,"Tilapia, coated, baked or broiled, made with butter",12.51,21.07,6.98,197.14
1558,"Tilapia, coated, baked or broiled, made with margarine",12.56,21.04,6.06,188.94
1559,"Tilapia, coated, baked or broiled, no added fat",13.1,22.01,2.42,162.22
1560,"Tilapia, coated, baked or broiled, made with cooking spray",13.14,21.95,2.72,164.84
1561,"Tilapia, coated, fried, made with oil",9.85,20.14,11.78,225.98
1562,"Tilapia, coated, fried, made with butter",9.86,20.21,10.13,211.45
1563,"Tilapia, coated, fried, made with margarine",9.93,20.15,8.73,198.89
1564,"Tilapia, coated, fried, no added fat",11.6,23.7,3.61,173.69
1565,"Tilapia, coated, fried, made with cooking spray",11.64,23.63,3.91,176.27
1566,"Tilapia, steamed or poached",0.0,25.25,2.14,120.26
1567,"Frog legs, NS as to cooking method",10.21,17.62,10.97,210.05
1568,"Frog legs, steamed",0.0,20.62,0.38,85.9
1569,"Octopus, cooked, NS as to cooking method",12.16,16.3,11.63,218.51
1570,"Octopus, steamed",4.37,29.62,2.07,154.59
1571,"Octopus, dried",8.34,56.52,3.94,294.9
1572,"Octopus, dried, boiled",4.38,29.69,2.07,154.91
1573,"Octopus, smoked",4.4,29.82,2.08,155.6
1574,"Roe, shad, cooked",1.93,27.29,11.62,221.46
1575,"Roe, herring",1.5,22.32,6.42,153.06
1576,"Roe, sturgeon",4.0,24.6,17.9,275.5
1577,"Squid, raw",3.08,15.58,1.38,87.06
1578,"Squid, baked or broiled, fat added",3.76,18.57,5.33,137.29
1579,"Squid, baked or broiled, no added fat",3.88,19.14,1.7,107.38
1580,"Squid, coated, baked or broiled, fat added",15.0,16.41,7.58,193.86
1581,"Squid, coated, baked or broiled, no added fat",15.7,17.18,2.06,150.06
1582,"Squid, coated, fried",12.94,16.89,11.93,226.69
1583,"Squid, steamed or boiled",6.13,31.02,2.75,173.35
1584,"Squid, dried",11.65,58.94,5.22,329.34
1585,"Squid, pickled",2.96,14.93,1.32,83.44
1586,"Squid, canned",3.54,17.9,1.59,100.07
1587,"Turtle, cooked, NS as to cooking method",0.09,23.6,4.28,133.28
1588,"Abalone, cooked, NS as to cooking method",7.26,20.38,4.59,151.87
1589,"Abalone, floured or breaded, fried",15.53,18.24,11.38,237.5
1590,"Abalone, steamed or poached",11.97,34.05,1.51,197.67
1591,"Clams, raw",3.57,14.67,0.96,81.6
1592,"Clams, cooked, NS as to cooking method",4.35,17.49,4.83,130.83
1593,"Clams, baked or broiled, fat added",4.35,17.49,4.83,130.83
1594,"Clams, baked or broiled, no added fat",4.48,18.02,1.18,100.62
1595,"Clams, coated, baked or broiled, fat added",15.44,15.58,7.2,188.88
1596,"Clams, coated, baked or broiled, no added fat",16.17,16.31,1.66,144.86
1597,"Clams, coated, fried",13.37,16.09,11.56,221.88
1598,"Clams, steamed or boiled",7.11,29.21,1.91,162.47
1599,"Clams, canned",4.46,18.34,1.2,102.0
1600,"Clams, smoked, in oil",4.05,16.64,11.82,189.14
1601,"Crab, cooked, NS as to cooking method",0.0,17.76,0.74,77.7
1602,"Crab, baked or broiled, fat added",0.09,21.31,4.56,126.64
1603,"Crab, baked or broiled, no added fat",0.1,21.96,0.91,96.43
1604,"Crab, coated, baked or broiled, fat added",12.2,18.5,7.0,185.8
1605,"Crab, coated, baked or broiled, no added fat",12.77,19.37,1.45,141.61
1606,"Crab, hard shell, steamed",0.0,17.76,0.74,77.7
1607,"Crab, canned",0.0,17.88,0.74,78.18
1608,"Crab, soft shell, coated, fried",10.21,18.93,11.36,218.8
1609,"Crayfish, coated, fried",10.21,17.24,11.55,213.75
1610,"Crayfish, boiled or steamed",0.0,16.66,1.19,77.35
1611,"Lobster, cooked, NS as to cooking method",0.0,18.88,0.85,83.17
1612,"Lobster, baked or broiled, fat added",0.09,19.69,4.58,120.34
1613,"Lobster, baked or broiled, no added fat",0.1,20.29,0.92,89.84
1614,"Lobster, coated, fried",10.21,17.72,11.37,214.05
1615,"Lobster, steamed or boiled",0.0,18.88,0.85,83.17
1616,"Lobster, coated, baked or broiled, fat added",12.2,17.26,7.0,180.84
1617,"Lobster, coated, baked or broiled, no added fat",12.77,18.07,1.46,136.5
1618,"Lobster, canned",0.0,19.0,0.86,83.74
1619,"Mussels, raw",3.69,11.9,2.24,82.52
1620,"Mussels, cooked, NS as to cooking method",7.35,23.7,4.46,164.34
1621,"Mussels, steamed or poached",7.35,23.7,4.46,164.34
1622,"Oysters, raw",2.72,5.71,1.71,49.11
1623,"Oysters, cooked, NS as to cooking method",12.62,8.16,12.22,193.1
1624,"Oysters, baked or broiled, fat added",3.34,6.81,5.72,92.08
1625,"Oysters, baked or broiled, no added fat",3.44,7.02,2.1,60.74
1626,"Oysters, steamed",5.42,11.37,3.4,97.76
1627,"Oysters, coated, fried",12.62,8.16,12.22,193.1
1628,"Oysters, coated, baked or broiled, fat added",14.67,7.43,7.88,159.32
1629,"Oysters, coated, baked or broiled, no added fat",15.36,7.78,2.37,113.89
1630,"Oysters, canned",4.25,7.67,2.68,71.8
1631,"Oysters, smoked",4.38,9.2,2.76,79.16
1632,"Scallops, cooked, NS as to cooking method",3.88,14.38,4.26,111.38
1633,"Scallops, baked or broiled, fat added",3.88,14.38,4.26,111.38
1634,"Scallops, baked or broiled, no added fat",4.0,14.81,0.6,80.64
1635,"Scallops, steamed or boiled",6.33,24.01,0.98,130.18
1636,"Scallops, coated, fried",13.03,13.78,11.14,207.5
1637,"Scallops, coated, baked or broiled, fat added",15.09,13.21,6.77,174.13
1638,"Scallops, coated, baked or broiled, no added fat",15.8,13.83,1.21,129.41
1639,"Shrimp, cooked, NS as to cooking method",11.02,15.15,11.6,209.08
1640,"Shrimp, baked or broiled, made with oil",1.18,16.23,4.88,113.56
1641,"Shrimp, baked or broiled, made with butter",1.18,16.26,4.19,107.47
1642,"Shrimp, baked or broiled, made with margarine",1.21,16.23,3.6,102.16
1643,"Shrimp, baked or broiled, no added fat",1.21,16.72,1.24,82.88
1644,"Shrimp, baked or broiled, made with cooking spray",1.31,16.65,1.62,86.42
1645,"Shrimp, steamed or boiled",1.16,17.37,1.29,85.73
1646,"Shrimp, coated, fried, made with oil",11.02,15.15,11.6,209.08
1647,"Shrimp, coated, fried, made with butter",11.02,15.22,9.89,193.97
1648,"Shrimp, coated, fried, made with margarine",11.09,15.16,8.44,180.96
1649,"Shrimp, coated, fried, no added fat",12.2,16.77,2.84,141.44
1650,"Shrimp, coated, fried, made with cooking spray",12.24,16.72,3.14,144.1
1651,"Shrimp, coated, fried, from fast food / restaurant",22.29,12.67,18.67,307.87
1652,"Shrimp, coated, baked or broiled, made with oil",13.02,14.62,7.24,175.72
1653,"Shrimp, coated, baked or broiled, made with butter",13.03,14.66,6.18,166.38
1654,"Shrimp, coated, baked or broiled, made with margarine",13.07,14.63,5.28,158.32
1655,"Shrimp, coated, baked or broiled, no added fat",13.64,15.3,1.7,131.06
1656,"Shrimp, coated, baked or broiled, made with cooking spray",13.68,15.26,2.0,133.76
1657,"Shrimp, dried",0.0,51.7,3.44,237.76
1658,"Shrimp, canned",0.0,20.42,1.36,93.92
1659,"Snails, cooked, NS as to cooking method",2.48,19.19,5.35,134.83
1660,Beef with tomato-based sauce,1.58,21.72,6.36,150.44
1661,Beef goulash,2.79,13.69,3.78,99.94
1662,Beef burgundy,4.06,18.5,5.99,144.15
1663,"Beef stew, no potatoes, tomato-based sauce, Mexican style",3.33,14.8,4.39,112.03
1664,"Beef stew, no potatoes, tomato-based sauce, with chili peppers, Mexican style",4.37,11.34,3.39,93.35
1665,"Chili con carne, NS as to beans",7.22,8.05,4.21,98.97
1666,"Chili con carne with beans, from restaurant",4.57,12.56,9.79,156.63
1667,"Chili con carne with beans, home recipe",7.21,8.05,4.21,98.93
1668,"Chili con carne with beans, canned",13.1,5.8,3.47,106.83
1669,Chili con carne with beans,10.31,6.87,3.82,103.1
1670,Chili con carne without beans,6.1,7.53,7.1,118.42
1671,"Chili con carne, NS as to beans, with cheese",12.54,6.72,5.07,122.67
1672,Chili con carne with beans and cheese,12.54,6.72,5.07,122.67
1673,"Beef sloppy joe, no bun",9.14,10.61,6.65,138.85
1674,Beef with gravy,1.58,21.56,7.05,156.01
1675,Salisbury steak with gravy,6.78,6.98,10.47,149.27
1676,Beef with cream or white sauce,2.74,22.49,9.24,184.08
1677,Beef stroganoff,5.99,9.91,9.6,150.0
1678,Creamed chipped or dried beef,7.57,7.63,7.9,131.9
1679,Swedish meatballs with cream or white sauce,6.32,12.47,10.26,167.5
1680,Beef with mushroom sauce,1.84,21.97,7.52,162.92
1681,Beef with soy-based sauce,3.46,15.86,12.38,188.7
1682,Steak teriyaki,1.94,28.86,8.25,197.45
1683,Beef curry,6.46,7.56,6.53,114.85
1684,Beef curry with rice,15.08,5.61,4.03,119.03
1685,Beef with barbecue sauce,11.75,20.86,6.23,186.51
1686,Beef with sweet and sour sauce,16.01,11.55,8.36,185.48
1687,"Stewed seasoned ground beef, Mexican style",1.31,13.5,14.58,190.46
1688,Steak tartare,1.56,15.67,13.84,193.48
1689,"Meatballs, Puerto Rican style",6.86,13.82,17.34,238.78
1690,"Stewed seasoned ground beef, Puerto Rican style",3.9,13.1,25.56,298.04
1691,"Stewed dried beef, Puerto Rican style",3.88,17.69,19.15,258.63
1692,"Stuffed pot roast, Puerto Rican style, NFS",1.2,18.64,18.84,248.92
1693,"Beef stew, meat with gravy, no potatoes, Puerto Rican style",1.88,16.52,17.52,231.28
1694,Ham or pork with gravy,1.58,20.15,7.49,154.33
1695,Ham or pork with barbecue sauce,12.69,21.04,7.19,199.63
1696,Sweet and sour pork,17.82,11.54,8.45,193.49
1697,Ham stroganoff,4.97,7.47,9.18,132.38
1698,Ham or pork with mushroom sauce,1.84,20.55,7.96,161.2
1699,Ham or pork with tomato-based sauce,1.59,20.3,6.8,148.76
1700,Sausage with tomato-based sauce,2.58,13.28,19.09,235.25
1701,Sausage gravy,7.64,6.76,13.42,178.38
1702,"Pork stew, no potatoes, tomato-based sauce, Mexican style",3.33,14.31,4.27,108.99
1703,Pork or ham with soy-based sauce,3.46,14.87,12.69,187.53
1704,"Frankfurter or hot dog, with chili, no bun",8.36,8.87,15.72,210.4
1705,Frankfurters or hot dogs with tomato-based sauce,3.71,8.94,20.64,236.36
1706,Pork with chili and tomatoes,2.68,11.64,3.99,93.19
1707,"Stewed pork, Puerto Rican style",2.77,17.92,12.69,196.97
1708,"Chili con carne with beans, made with pork",7.2,8.07,5.12,107.16
1709,Lamb or mutton with gravy,1.58,17.29,15.37,213.81
1710,Lamb or mutton goulash,3.1,13.07,6.38,122.1
1711,"Stewed goat, Puerto Rican style",1.99,22.31,18.08,259.92
1712,Veal with gravy,1.58,25.4,5.19,154.63
1713,Veal scallopini,1.28,18.75,17.46,237.26
1714,Veal with cream sauce,2.74,26.32,7.38,182.66
1715,Veal with butter sauce,1.49,15.09,9.26,149.66
1716,Veal Marsala,6.52,16.66,8.56,169.76
1717,Veal parmigiana,8.29,15.33,11.88,201.4
1718,Veal cordon bleu,9.26,20.69,14.36,249.04
1719,Venison or deer with tomato-based sauce,1.59,25.64,2.84,134.48
1720,Venison or deer with gravy,1.58,25.48,3.53,140.01
1721,Chili con carne with venison/deer and beans,7.21,8.26,2.21,81.77
1722,Chicken or turkey cacciatore,6.94,13.19,10.63,176.19
1723,Spaghetti sauce with poultry,6.54,6.32,2.5,73.94
1724,Spaghetti sauce with poultry and added vegetables,6.04,6.33,2.29,70.09
1725,"Stewed chicken with tomato-based sauce, Mexican style",2.46,11.98,7.06,121.3
1726,Chili con carne with chicken or turkey and beans,7.36,8.42,2.67,87.15
1727,Chicken with gravy,1.58,18.88,5.21,128.73
1728,Chicken or turkey fricassee,3.5,10.65,7.14,120.86
1729,Turkey with gravy,1.58,20.46,3.46,119.3
1730,Chicken or turkey with cream sauce,2.74,19.81,7.41,156.89
1731,Chicken or turkey with mushroom sauce,1.84,19.29,5.69,135.73
1732,Chicken or turkey with teriyaki,1.62,25.73,5.96,163.04
1733,"Chicken, shredded or pulled, with barbecue sauce",12.23,19.0,4.64,166.68
1734,Sweet and sour chicken or turkey,23.86,10.1,12.65,249.69
1735,"Sweet and sour chicken or turkey, without vegetables",23.86,10.1,12.65,249.69
1736,Chicken curry,6.47,6.47,6.45,109.81
1737,Chicken curry with rice,15.08,4.95,3.98,115.94
1738,Chicken with mole sauce,3.22,18.97,5.58,138.98
1739,Chicken or turkey with cheese sauce,1.64,21.77,8.9,173.74
1740,Chicken or turkey cordon bleu,9.26,22.63,9.12,209.64
1741,Chicken or turkey parmigiana,8.26,16.25,8.29,172.65
1742,Orange chicken,22.46,14.46,12.68,261.8
1743,Sesame chicken,26.88,14.33,14.25,293.09
1744,Chicken kiev,5.45,21.31,19.1,278.94
1745,"Stuffed chicken, drumstick or breast, Puerto Rican style",6.53,28.07,10.43,232.27
1746,"Fish with cream or white sauce, not tuna or lobster",2.74,17.04,3.57,111.25
1747,"Crab, deviled",13.61,11.74,9.35,185.55
1748,Crab imperial,3.2,13.96,7.31,134.43
1749,Fish timbale or mousse,1.76,10.23,10.94,146.42
1750,Lobster newburg,4.14,11.62,20.08,243.76
1751,Lobster with butter sauce,0.01,17.0,9.68,155.16
1752,Shrimp cocktail,10.76,15.37,1.48,117.84
1753,Tuna with cream or white sauce,2.81,14.42,3.64,101.68
1754,Seafood newburg,4.37,12.02,20.19,247.27
1755,Seafood sauce,2.55,8.52,17.45,201.33
1756,Spaghetti sauce with seafood,7.09,5.33,1.48,63.0
1757,Spaghetti sauce with seafood and added vegetables,6.59,5.34,1.26,59.06
1758,Shrimp with lobster sauce,2.22,16.78,7.86,146.74
1759,Sweet and sour shrimp,15.53,7.14,8.6,168.08
1760,Fish sauce,3.64,5.06,0.01,34.89
1761,Shrimp scampi,1.76,19.63,12.06,194.1
1762,Fish moochim,10.18,37.83,16.51,340.63
1763,Fish with tomato-based sauce,1.59,16.28,0.69,77.69
1764,Fish curry,6.58,4.94,5.39,94.59
1765,Fish curry with rice,15.15,4.03,3.34,106.78
1766,Mussels with tomato-based sauce,5.02,12.2,2.32,89.76
1767,Sardines with tomato-based sauce,0.54,20.86,10.45,179.65
1768,Sardines with mustard sauce,0.54,20.86,10.45,179.65
1769,Shrimp teriyaki,3.34,21.62,1.56,113.88
1770,Scallops with cheese sauce,5.43,17.48,5.06,137.18
1771,Ceviche,3.58,10.34,0.75,62.43
1772,"Crabs in tomato-based sauce, Puerto Rican style",2.96,12.52,8.9,142.02
1773,"Shrimp in garlic sauce, Puerto Rican style",2.51,11.56,24.97,281.01
1774,"Stewed codfish, no potatoes, Puerto Rican style",4.27,12.05,4.42,105.06
1775,"Meat with barbecue sauce, NS as to type of meat",12.74,20.88,6.8,195.68
1776,"Meatballs, NS as to type of meat, with sauce",0.13,18.03,11.98,180.46
1777,"Meat loaf, Puerto Rican style",10.59,19.79,21.94,318.98
1778,Meat with tomato-based sauce,1.58,21.72,6.36,150.44
1779,Spaghetti sauce with meat,6.54,5.93,4.36,89.12
1780,Spaghetti sauce with meat and added vegetables,6.04,5.94,4.14,85.18
1781,"Stewed, seasoned, ground beef and pork, Mexican style",1.48,16.7,6.98,135.54
1782,"Meat with gravy, NS as to type of meat,",1.58,21.56,7.05,156.01
1783,"Beef and potatoes, no sauce",14.52,7.92,4.93,134.13
1784,"Beef stew with potatoes, tomato-based sauce",9.94,8.99,3.34,105.78
1785,"Beef stew with potatoes, tomato-based sauce, Mexican style",6.47,12.48,3.59,108.11
1786,Beef goulash with potatoes,7.68,11.46,4.39,116.07
1787,"Beef and potatoes with cream sauce, white sauce or mushroom sauce",8.67,7.73,3.8,99.8
1788,"Beef stew with potatoes, gravy",7.63,9.19,3.51,98.87
1789,"Beef, roast, hash",10.74,12.2,8.09,164.57
1790,Corned beef hash,9.27,8.73,10.24,164.16
1791,Beef and potatoes with cheese sauce,11.1,8.15,5.6,127.4
1792,"Stewed, seasoned, ground beef with potatoes, Mexican style",5.61,9.9,10.09,152.85
1793,"Beef and noodles, no sauce",16.24,11.37,8.41,186.13
1794,Beef and macaroni with cheese sauce,12.31,9.12,5.38,134.14
1795,Beef and noodles with tomato-based sauce,10.67,8.74,3.92,112.92
1796,Chili con carne with beans and macaroni,16.91,5.8,2.92,117.12
1797,Beef goulash with noodles,10.88,12.5,5.1,139.42
1798,Beef and noodles with gravy,15.39,7.7,5.07,137.99
1799,Beef and noodles with cream or white sauce,15.02,7.85,5.26,138.82
1800,Beef stroganoff with noodles,8.84,7.66,6.98,128.82
1801,Beef and noodles with mushroom sauce,14.97,7.54,5.13,136.21
1802,Beef and noodles with soy-based sauce,7.64,13.18,10.06,173.82
1803,"Beef and rice, no sauce",17.23,7.27,5.0,143.0
1804,Biryani with meat,12.2,8.5,6.77,143.73
1805,Beef and rice with tomato-based sauce,15.88,6.39,5.15,135.43
1806,Porcupine balls with tomato-based sauce,13.39,10.35,6.2,150.76
1807,Chili con carne with beans and rice,16.65,5.07,2.72,111.36
1808,Beef and rice with gravy,15.98,6.28,5.12,135.12
1809,Beef and rice with cream sauce,15.89,6.69,5.17,136.85
1810,Beef and rice with mushroom sauce,15.54,6.25,5.17,133.69
1811,Porcupine balls with mushroom sauce,10.71,10.33,7.76,154.0
1812,Beef and rice with soy-based sauce,8.05,13.57,10.27,178.91
1813,Beef and rice with cheese sauce,14.64,8.07,5.36,139.08
1814,Meat loaf made with beef,7.19,17.49,10.69,194.93
1815,"Meat loaf made with beef, with tomato-based sauce",6.76,13.79,8.33,157.17
1816,Beef wellington,10.1,19.1,27.37,363.13
1817,Corned beef patty,9.27,8.73,10.24,164.16
1818,"Stuffed pot roast, with potatoes, Puerto Rican style",7.77,24.4,23.56,340.72
1819,"Beef stew with potatoes, Puerto Rican style",6.56,14.57,14.85,218.17
1820,"Stewed corned beef, Puerto Rican style",10.32,13.43,11.15,195.35
1821,Meat loaf made with ham,6.13,20.67,7.47,174.43
1822,Ham and noodles with cream or white sauce,15.32,6.8,5.37,136.81
1823,Ham and rice with mushroom sauce,16.28,5.37,5.18,133.22
1824,Ham or pork with stuffing,10.43,6.26,8.27,141.19
1825,Ham croquette,2.58,17.98,20.7,268.54
1826,Pork and rice with tomato-based sauce,16.78,6.42,5.0,137.8
1827,Sausage and rice with tomato-based sauce,16.4,4.63,5.49,133.53
1828,Sausage and rice with mushroom sauce,16.8,4.86,6.01,140.73
1829,Sausage and rice with cheese sauce,13.94,6.32,7.61,149.53
1830,Sausage and noodles with cream or white sauce,14.83,5.9,7.73,152.49
1831,"Ham and noodles, no sauce",15.88,7.15,5.54,141.98
1832,"Ham or pork and rice, no sauce",16.8,6.73,4.99,139.03
1833,Ham or pork and potatoes with gravy,11.68,5.4,6.33,125.29
1834,Ham or pork and potatoes with cheese sauce,11.11,7.86,5.69,127.09
1835,"Stewed pig's feet, Puerto Rican style",4.13,9.99,8.7,134.78
1836,"Stuffed pork roast, Puerto Rican style",1.92,18.75,8.11,155.67
1837,"Pork stew, with potatoes, tomato-based sauce, Mexican style",5.06,13.08,3.84,107.12
1838,Lamb or mutton loaf,7.42,13.1,11.04,181.44
1839,Lamb or mutton and potatoes with gravy,12.53,5.13,6.46,128.78
1840,Lamb or mutton and potatoes with tomato-based sauce,12.48,5.26,6.22,126.94
1841,Lamb or mutton and noodles with gravy,15.63,6.8,5.48,139.04
1842,Meat loaf made with venison/deer,6.3,19.03,6.68,161.44
1843,Veal and noodles with cream or white sauce,14.48,8.34,5.64,142.04
1844,Venison or deer and noodles with cream or white sauce,14.48,8.36,5.3,139.06
1845,Chicken or turkey hash,8.16,9.64,4.1,108.1
1846,Chicken or turkey and potatoes with gravy,8.9,7.26,6.31,121.43
1847,"Chicken or turkey and noodles, no sauce",15.47,7.73,6.14,148.06
1848,Chicken or turkey and noodles with gravy,15.23,6.99,5.67,139.91
1849,Chicken or turkey and noodles with mushroom sauce,14.87,6.92,5.44,136.12
1850,Chicken or turkey and noodles with cream or white sauce,15.23,7.38,5.44,139.4
1851,Chicken or turkey and noodles with cheese sauce,13.56,8.95,6.16,145.48
1852,Chicken or turkey tetrazzini,6.96,11.96,4.76,118.52
1853,Chicken or turkey and noodles with tomato-based sauce,15.17,7.12,5.44,138.12
1854,Chicken or turkey and noodles with soy-based sauce,7.69,11.6,9.02,158.34
1855,"Chicken or turkey and rice, no sauce",16.97,6.46,5.84,146.28
1856,Biryani with chicken,13.57,7.15,2.36,104.12
