,Сливочное масло с солью,717,0.85,81.11,0.06
872,"Курица, бройлеры или фритюрницы, спинка, мясо и кожа, вареные, запеченные",300,25.95,20.97,0.0
873,"Курица, бройлеры или фритюрницы, спинка, мясо и кожа, вареные, тушеные",258,22.18,18.14,0.0
874,"Курица, бройлеры или фритюрницы, задняя часть, только мясная, сырая",137,19.56,5.92,0.0
875,"Курица, бройлеры или фритюрницы, задняя часть, только мясная, вареная, жареная",288,29.99,15.32,5.68
876,"Курица, бройлеры или фритюрницы, задняя часть, только мясная, вареная, запеченная",239,28.19,13.16,0.0
877,"Курица, бройлеры или фритюрницы, задняя часть, только мясная, вареная, тушеная",209,25.31,11.19,0.0
878,"Курица, бройлеры или фритюрницы, грудка, мясо и кожа, сырые",172,20.85,9.25,0.0
879,"Курица, бройлеры или фритюрницы, грудка, мясо и кожа, вареные, жареные, в кляре",260,24.84,13.2,8.99
880,"Курица, бройлеры или фритюрницы, грудка, мясо и кожа, вареные, жареные, мучные",222,31.84,8.87,1.64
881,"Курица, бройлеры или фритюрницы, грудка, мясо и кожа, вареные, запеченные",197,29.8,7.78,0.0
882,"Курица, бройлеры или фритюрницы, грудка, мясо и кожа, вареные, тушеные",184,27.39,7.42,0.0
883,"Курица, бройлер или для фритюра, свежая, без кожи, без костей, только мясо, сырая",120,22.5,2.62,0.0
884,"Курица, бройлеры или фритюрницы, грудка, только мясо, вареное, жареное",187,33.44,4.71,0.51
885,"Курица, бройлеры или фритюрницы, грудка, только мясо, вареное, запеченное",165,31.02,3.57,0.0
886,"Курица, бройлеры или фритюрницы, грудка, только мясо, вареное, тушеное",151,28.98,3.03,0.0
887,"Курица, бройлеры или фритюрницы, голень, мясо и кожа в сыром виде",161,18.08,9.2,0.11
888,"Курица, бройлеры или фритюрницы, голень, мясо и кожа, вареные, жареные, в кляре",268,21.95,15.75,8.28
